NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
"JAMAICA PLAIN, MA US",1/1/19,0.81,0,0,52,27
"JAMAICA PLAIN, MA US",1/2/19,0,0,0,58,27
"JAMAICA PLAIN, MA US",1/3/19,0,0,0,36,27
"JAMAICA PLAIN, MA US",1/4/19,0,0,0,45,30
"JAMAICA PLAIN, MA US",1/5/19,0.04,0,0,47,31
"JAMAICA PLAIN, MA US",1/6/19,0.6,0,0,42,30
"JAMAICA PLAIN, MA US",1/7/19,0,0,0,45,17
"JAMAICA PLAIN, MA US",1/8/19,0,0,0,31,18
"JAMAICA PLAIN, MA US",1/9/19,0.13,0,0,40,31
"JAMAICA PLAIN, MA US",1/10/19,0,0,0,44,32
"JAMAICA PLAIN, MA US",1/11/19,0,0,0,35,22
"JAMAICA PLAIN, MA US",1/12/19,0,0,0,28,12
"JAMAICA PLAIN, MA US",1/13/19,0,0,0,28,14
"JAMAICA PLAIN, MA US",1/14/19,0,0,0,29,15
"JAMAICA PLAIN, MA US",1/15/19,0,0,0,30,17
"JAMAICA PLAIN, MA US",1/16/19,0,0,0,37,19
"JAMAICA PLAIN, MA US",1/17/19,0,0,0,37,16
"JAMAICA PLAIN, MA US",1/18/19,0,0,0,28,16
"JAMAICA PLAIN, MA US",1/19/19,0,0,0,42,23
"JAMAICA PLAIN, MA US",1/20/19,1.36,5.2,5,34,27
"JAMAICA PLAIN, MA US",1/21/19,0.44,0.5,4,29,1
"JAMAICA PLAIN, MA US",1/22/19,0,0,4,6,2
"JAMAICA PLAIN, MA US",1/23/19,0,0,4,27,6
"JAMAICA PLAIN, MA US",1/24/19,0,0,3,51,23
"JAMAICA PLAIN, MA US",1/25/19,1.28,0,0,58,28
"JAMAICA PLAIN, MA US",1/26/19,0,0,0,42,18
"JAMAICA PLAIN, MA US",1/27/19,0,0,0,35,20
"JAMAICA PLAIN, MA US",1/28/19,0,0,0,46,25
"JAMAICA PLAIN, MA US",1/29/19,0,0,0,32,20
"JAMAICA PLAIN, MA US",1/30/19,0.18,0,0,36,21
"JAMAICA PLAIN, MA US",1/31/19,0.02,0,0,32,1
"JAMAICA PLAIN, MA US",2/1/19,0,0,0,16,2
"JAMAICA PLAIN, MA US",2/2/19,0,0,0,22,2
"JAMAICA PLAIN, MA US",2/3/19,0,0,0,33,11
"JAMAICA PLAIN, MA US",2/4/19,0,0,0,41,29
"JAMAICA PLAIN, MA US",2/5/19,0,0,0,63,37
"JAMAICA PLAIN, MA US",2/6/19,0,0,0,65,31
"JAMAICA PLAIN, MA US",2/7/19,0.58,0,0,40,32
"JAMAICA PLAIN, MA US",2/8/19,0.06,0,0,40,36
"JAMAICA PLAIN, MA US",2/9/19,0,0,0,55,23
"JAMAICA PLAIN, MA US",2/10/19,0,0,0,34,19
"JAMAICA PLAIN, MA US",2/11/19,0,0,0,35,22
"JAMAICA PLAIN, MA US",2/12/19,0,0,0,36,16
"JAMAICA PLAIN, MA US",2/13/19,1.32,2.4,2,38,18
"JAMAICA PLAIN, MA US",2/14/19,0.02,0.4,2,43,27
"JAMAICA PLAIN, MA US",2/15/19,0,0,1,40,27
"JAMAICA PLAIN, MA US",2/16/19,0.05,0,0,50,33
"JAMAICA PLAIN, MA US",2/17/19,0,0,0,43,21
"JAMAICA PLAIN, MA US",2/18/19,0.28,2.9,3,40,21
"JAMAICA PLAIN, MA US",2/19/19,0.05,0.1,3,32,13
"JAMAICA PLAIN, MA US",2/20/19,0,0,3,33,13
"JAMAICA PLAIN, MA US",2/21/19,0.5,1.4,4,31,18
"JAMAICA PLAIN, MA US",2/22/19,0,0,3,46,30
"JAMAICA PLAIN, MA US",2/23/19,0,0,3,46,27
"JAMAICA PLAIN, MA US",2/24/19,0.05,0,3,40,29
"JAMAICA PLAIN, MA US",2/25/19,0.35,0,2,46,35
"JAMAICA PLAIN, MA US",2/26/19,0,0,1,38,22
"JAMAICA PLAIN, MA US",2/27/19,0,0,1,31,11
"JAMAICA PLAIN, MA US",2/28/19,0.23,3.6,4,25,13
"JAMAICA PLAIN, MA US",3/1/19,0,0,4,31,17
"JAMAICA PLAIN, MA US",3/2/19,0.03,0.4,3,39,22
"JAMAICA PLAIN, MA US",3/3/19,0.26,2.3,6,32,25
"JAMAICA PLAIN, MA US",3/4/19,1.21,13.2,17,42,29
"JAMAICA PLAIN, MA US",3/5/19,0,0,13,39,14
"JAMAICA PLAIN, MA US",3/6/19,0,0,12,32,14
"JAMAICA PLAIN, MA US",3/7/19,0,0,12,27,7
"JAMAICA PLAIN, MA US",3/8/19,0,0,12,29,9
"JAMAICA PLAIN, MA US",3/9/19,0,0,11,37,16
"JAMAICA PLAIN, MA US",3/10/19,0,0,11,46,20
"JAMAICA PLAIN, MA US",3/11/19,0.54,0.3,11,38,31
"JAMAICA PLAIN, MA US",3/12/19,0,0,8,50,32
"JAMAICA PLAIN, MA US",3/13/19,0,0,8,44,24
"JAMAICA PLAIN, MA US",3/14/19,0,0,8,44,25
"JAMAICA PLAIN, MA US",3/15/19,0,0,6,51,35
"JAMAICA PLAIN, MA US",3/16/19,0.14,0,0,61,42
"JAMAICA PLAIN, MA US",3/17/19,0,0,0,52,30
"JAMAICA PLAIN, MA US",3/18/19,0,0,0,43,24
"JAMAICA PLAIN, MA US",3/19/19,0,0,0,44,26
"JAMAICA PLAIN, MA US",3/20/19,0,0,0,45,24
"JAMAICA PLAIN, MA US",3/21/19,0,0,0,53,29
"JAMAICA PLAIN, MA US",3/22/19,0.58,0,0,51,36
"JAMAICA PLAIN, MA US",3/23/19,0.38,0.7,0,41,31
"JAMAICA PLAIN, MA US",3/24/19,0,0,0,47,27
"JAMAICA PLAIN, MA US",3/25/19,0,0,0,60,32
"JAMAICA PLAIN, MA US",3/26/19,0,0,0,52,29
"JAMAICA PLAIN, MA US",3/27/19,0,0,0,47,26
"JAMAICA PLAIN, MA US",3/28/19,0,0,0,44,26
"JAMAICA PLAIN, MA US",3/29/19,0,0,0,54,31
"JAMAICA PLAIN, MA US",3/30/19,0.01,0,0,57,42
"JAMAICA PLAIN, MA US",3/31/19,0,0,0,68,43
"JAMAICA PLAIN, MA US",4/1/19,0.1,0,0,69,35
"JAMAICA PLAIN, MA US",4/2/19,0,0,0,47,24
"JAMAICA PLAIN, MA US",4/3/19,0.43,0,0,53,33
"JAMAICA PLAIN, MA US",4/4/19,0,0,0,64,38
"JAMAICA PLAIN, MA US",4/5/19,0,0,0,53,29
"JAMAICA PLAIN, MA US",4/6/19,0.18,0,0,48,34
"JAMAICA PLAIN, MA US",4/7/19,0,0,0,66,37
"JAMAICA PLAIN, MA US",4/8/19,0.25,0,0,67,42
"JAMAICA PLAIN, MA US",4/9/19,0.13,0,0,44,34
"JAMAICA PLAIN, MA US",4/10/19,0.05,0,0,42,35
"JAMAICA PLAIN, MA US",4/11/19,0,0,0,47,32
"JAMAICA PLAIN, MA US",4/12/19,0,0,0,53,36
"JAMAICA PLAIN, MA US",4/13/19,0.37,0,0,58,44
"JAMAICA PLAIN, MA US",4/14/19,0.01,0,0,74,50
"JAMAICA PLAIN, MA US",4/15/19,0.8,0,0,70,52
"JAMAICA PLAIN, MA US",4/16/19,0.07,0,0,70,41
"JAMAICA PLAIN, MA US",4/17/19,0,0,0,59,39
"JAMAICA PLAIN, MA US",4/18/19,0,0,0,64,37
"JAMAICA PLAIN, MA US",4/19/19,0,0,0,67,44
"JAMAICA PLAIN, MA US",4/20/19,0.05,0,0,75,64
"JAMAICA PLAIN, MA US",4/21/19,0.21,0,0,71,57
"JAMAICA PLAIN, MA US",4/22/19,0,0,0,70,49
"JAMAICA PLAIN, MA US",4/23/19,2.83,0,0,60,47
"JAMAICA PLAIN, MA US",4/24/19,0.09,0,0,54,46
"JAMAICA PLAIN, MA US",4/25/19,0,0,0,67,41
"JAMAICA PLAIN, MA US",4/26/19,0,0,0,62,45
"JAMAICA PLAIN, MA US",4/27/19,1.48,0,0,50,44
"JAMAICA PLAIN, MA US",4/28/19,0,0,0,56,41
"JAMAICA PLAIN, MA US",4/29/19,0.02,0,0,56,36
"JAMAICA PLAIN, MA US",4/30/19,0.14,0,0,62,42
"JAMAICA PLAIN, MA US",5/1/19,0.01,0,0,51,38
"JAMAICA PLAIN, MA US",5/2/19,0.01,0,0,59,46
"JAMAICA PLAIN, MA US",5/3/19,0.01,0,0,47,43
"JAMAICA PLAIN, MA US",5/4/19,0.2,0,0,58,46
"JAMAICA PLAIN, MA US",5/5/19,0.01,0,0,56,48
"JAMAICA PLAIN, MA US",5/6/19,0,0,0,53,47
"JAMAICA PLAIN, MA US",5/7/19,0,0,0,64,39
"JAMAICA PLAIN, MA US",5/8/19,0.06,0,0,76,52
"JAMAICA PLAIN, MA US",5/9/19,0,0,0,66,41
"JAMAICA PLAIN, MA US",5/10/19,0,0,0,62,49
"JAMAICA PLAIN, MA US",5/11/19,0,0,0,64,51
"JAMAICA PLAIN, MA US",5/12/19,0.01,0,0,71,46
"JAMAICA PLAIN, MA US",5/13/19,0.55,0,0,48,40
"JAMAICA PLAIN, MA US",5/14/19,0.9,0,0,56,40
"JAMAICA PLAIN, MA US",5/15/19,0.08,0,0,51,42
"JAMAICA PLAIN, MA US",5/16/19,0.02,0,0,60,43
"JAMAICA PLAIN, MA US",5/17/19,0.02,0,0,70,45
"JAMAICA PLAIN, MA US",5/18/19,0.21,0,0,63,49
"JAMAICA PLAIN, MA US",5/19/19,0,0,0,73,49
"JAMAICA PLAIN, MA US",5/20/19,0.22,0,0,72,56
"JAMAICA PLAIN, MA US",5/21/19,0.02,0,0,87,55
"JAMAICA PLAIN, MA US",5/22/19,0,0,0,72,50
"JAMAICA PLAIN, MA US",5/23/19,0,0,0,71,50
"JAMAICA PLAIN, MA US",5/24/19,0.15,0,0,72,56
"JAMAICA PLAIN, MA US",5/25/19,0,0,0,71,47
"JAMAICA PLAIN, MA US",5/26/19,0.38,0,0,78,51
"JAMAICA PLAIN, MA US",5/27/19,0,0,0,88,61
"JAMAICA PLAIN, MA US",5/28/19,0,0,0,76,56
"JAMAICA PLAIN, MA US",5/29/19,0.34,0,0,59,47
"JAMAICA PLAIN, MA US",5/30/19,0.02,0,0,53,47
"JAMAICA PLAIN, MA US",5/31/19,0.36,0,0,67,52
"JAMAICA PLAIN, MA US",6/1/19,0,,,75,55
"JAMAICA PLAIN, MA US",6/2/19,0,0,0,75,53
"JAMAICA PLAIN, MA US",6/3/19,0.05,0,0,73,51
"JAMAICA PLAIN, MA US",6/4/19,0,0,0,73,45
"JAMAICA PLAIN, MA US",6/5/19,0,0,0,73,57
"JAMAICA PLAIN, MA US",6/6/19,0.05,0,0,86,66
"JAMAICA PLAIN, MA US",6/7/19,0,0,0,76,59
"JAMAICA PLAIN, MA US",6/8/19,0,0,0,80,57
"JAMAICA PLAIN, MA US",6/9/19,0,0,0,78,50
"JAMAICA PLAIN, MA US",6/10/19,0,0,0,83,51
"JAMAICA PLAIN, MA US",6/11/19,0.63,0,0,83,65
"JAMAICA PLAIN, MA US",6/12/19,0.13,0,0,88,58
"JAMAICA PLAIN, MA US",6/13/19,0,0,0,79,52
"JAMAICA PLAIN, MA US",6/14/19,0.72,0,0,66,51
"JAMAICA PLAIN, MA US",6/15/19,0,0,0,75,55
"JAMAICA PLAIN, MA US",6/16/19,0.05,0,0,83,64
"JAMAICA PLAIN, MA US",6/17/19,0.09,0,0,71,64
"JAMAICA PLAIN, MA US",6/18/19,0,0,0,82,64
"JAMAICA PLAIN, MA US",6/19/19,0.1,0,0,74,62
"JAMAICA PLAIN, MA US",6/20/19,0.04,0,0,76,64
"JAMAICA PLAIN, MA US",6/21/19,1.5,0,0,71,58
"JAMAICA PLAIN, MA US",6/22/19,0.2,0,0,72,60
"JAMAICA PLAIN, MA US",6/23/19,0,0,0,82,58
"JAMAICA PLAIN, MA US",6/24/19,0,0,0,86,60
"JAMAICA PLAIN, MA US",6/25/19,0,0,0,90,60
"JAMAICA PLAIN, MA US",6/26/19,0.2,0,0,75,64
"JAMAICA PLAIN, MA US",6/27/19,0,0,0,80,60
"JAMAICA PLAIN, MA US",6/28/19,0,0,0,83,62
"JAMAICA PLAIN, MA US",6/29/19,0.81,0,0,91,67
"JAMAICA PLAIN, MA US",6/30/19,0.03,0,0,83,64
"JAMAICA PLAIN, MA US",7/1/19,0.05,0,0,76,61
"JAMAICA PLAIN, MA US",7/2/19,0,0,0,85,66
"JAMAICA PLAIN, MA US",7/3/19,0,0,0,85,64
"JAMAICA PLAIN, MA US",7/4/19,0,0,0,92,66
"JAMAICA PLAIN, MA US",7/5/19,0,0,0,91,66
"JAMAICA PLAIN, MA US",7/6/19,0,0,0,93,72
"JAMAICA PLAIN, MA US",7/7/19,1.19,0,0,94,68
"JAMAICA PLAIN, MA US",7/8/19,0,0,0,78,61
"JAMAICA PLAIN, MA US",7/9/19,0,0,0,83,59
"JAMAICA PLAIN, MA US",7/10/19,0,0,0,90,62
"JAMAICA PLAIN, MA US",7/11/19,0,0,0,92,66
"JAMAICA PLAIN, MA US",7/12/19,0.43,0,0,85,70
"JAMAICA PLAIN, MA US",7/13/19,0.68,0,0,86,67
"JAMAICA PLAIN, MA US",7/14/19,0,0,0,88,69
"JAMAICA PLAIN, MA US",7/15/19,0,0,0,92,65
"JAMAICA PLAIN, MA US",7/16/19,0,0,0,85,60
"JAMAICA PLAIN, MA US",7/17/19,0,0,0,89,71
"JAMAICA PLAIN, MA US",7/18/19,0.57,0,0,94,69
"JAMAICA PLAIN, MA US",7/19/19,0.26,0,0,71,57
"JAMAICA PLAIN, MA US",7/20/19,0,0,0,92,67
"JAMAICA PLAIN, MA US",7/21/19,0,0,0,97,76
"JAMAICA PLAIN, MA US",7/22/19,0,0,0,96,75
"JAMAICA PLAIN, MA US",7/23/19,1.71,0,0,87,64
"JAMAICA PLAIN, MA US",7/24/19,0.35,0,0,69,60
"JAMAICA PLAIN, MA US",7/25/19,0,0,0,81,62
"JAMAICA PLAIN, MA US",7/26/19,0,0,0,83,61
"JAMAICA PLAIN, MA US",7/27/19,0,0,0,88,64
"JAMAICA PLAIN, MA US",7/28/19,0,0,0,87,64
"JAMAICA PLAIN, MA US",7/29/19,0,0,0,93,69
"JAMAICA PLAIN, MA US",7/30/19,0.02,0,0,93,71
"JAMAICA PLAIN, MA US",7/31/19,0,0,0,97,72
"JAMAICA PLAIN, MA US",8/1/19,0.24,0,0,96,68
"JAMAICA PLAIN, MA US",8/2/19,0,0,0,87,58
"JAMAICA PLAIN, MA US",8/3/19,0,0,0,87,64
"JAMAICA PLAIN, MA US",8/4/19,0,0,0,86,68
"JAMAICA PLAIN, MA US",8/5/19,0,0,0,87,59
"JAMAICA PLAIN, MA US",8/6/19,0,0,0,84,63
"JAMAICA PLAIN, MA US",8/7/19,0,0,0,84,63
"JAMAICA PLAIN, MA US",8/8/19,2.84,0,0,83,68
"JAMAICA PLAIN, MA US",8/9/19,0,0,0,82,66
"JAMAICA PLAIN, MA US",8/10/19,0,0,0,86,61
"JAMAICA PLAIN, MA US",8/11/19,0,0,0,82,62
"JAMAICA PLAIN, MA US",8/12/19,0,0,0,81,60
"JAMAICA PLAIN, MA US",8/13/19,0,0,0,86,64
"JAMAICA PLAIN, MA US",8/14/19,0,0,0,79,68
"JAMAICA PLAIN, MA US",8/15/19,0,0,0,82,64
"JAMAICA PLAIN, MA US",8/16/19,0,0,0,85,62
"JAMAICA PLAIN, MA US",8/17/19,0,0,0,79,64
"JAMAICA PLAIN, MA US",8/18/19,0.09,0,0,81,70
"JAMAICA PLAIN, MA US",8/19/19,0,0,0,89,71
"JAMAICA PLAIN, MA US",8/20/19,0.01,0,0,95,66
"JAMAICA PLAIN, MA US",8/21/19,0,0,0,90,65
"JAMAICA PLAIN, MA US",8/22/19,0.12,0,0,87,68
"JAMAICA PLAIN, MA US",8/23/19,0,0,0,91,65
"JAMAICA PLAIN, MA US",8/24/19,0,0,0,80,57
"JAMAICA PLAIN, MA US",8/25/19,0,0,0,76,60
"JAMAICA PLAIN, MA US",8/26/19,0,0,0,70,53
"JAMAICA PLAIN, MA US",8/27/19,0,0,0,76,50
"JAMAICA PLAIN, MA US",8/28/19,0,0,0,78,53
"JAMAICA PLAIN, MA US",8/29/19,1.36,0,0,81,61
"JAMAICA PLAIN, MA US",8/30/19,0,0,0,85,57
"JAMAICA PLAIN, MA US",8/31/19,0,0,0,86,60
"JAMAICA PLAIN, MA US",9/1/19,0,0,0,87,55
"JAMAICA PLAIN, MA US",9/2/19,0,0,0,75,57
"JAMAICA PLAIN, MA US",9/3/19,0.42,0,0,77,60
"JAMAICA PLAIN, MA US",9/4/19,0,0,0,80,61
"JAMAICA PLAIN, MA US",9/5/19,0,0,0,85,56
"JAMAICA PLAIN, MA US",9/6/19,0,0,0,73,54
"JAMAICA PLAIN, MA US",9/7/19,0.18,0,0,67,53
"JAMAICA PLAIN, MA US",9/8/19,0,0,0,71,54
"JAMAICA PLAIN, MA US",9/9/19,0,0,0,75,52
"JAMAICA PLAIN, MA US",9/10/19,0,0,0,75,57
"JAMAICA PLAIN, MA US",9/11/19,0,0,0,74,62
"JAMAICA PLAIN, MA US",9/12/19,0,0,0,85,66
"JAMAICA PLAIN, MA US",9/13/19,0.06,0,0,66,51
"JAMAICA PLAIN, MA US",9/14/19,0,0,0,69,44
"JAMAICA PLAIN, MA US",9/15/19,0.21,0,0,69,52
"JAMAICA PLAIN, MA US",9/16/19,0,0,0,80,59
"JAMAICA PLAIN, MA US",9/17/19,0,0,0,74,52
"JAMAICA PLAIN, MA US",9/18/19,0,0,0,70,54
"JAMAICA PLAIN, MA US",9/19/19,0,0,0,63,43
"JAMAICA PLAIN, MA US",9/20/19,0,0,0,70,43
"JAMAICA PLAIN, MA US",9/21/19,0,0,0,79,47
"JAMAICA PLAIN, MA US",9/22/19,0,0,0,86,57
"JAMAICA PLAIN, MA US",9/23/19,0,0,0,88,59
"JAMAICA PLAIN, MA US",9/24/19,0.08,0,0,91,63
"JAMAICA PLAIN, MA US",9/25/19,0,0,0,79,54
"JAMAICA PLAIN, MA US",9/26/19,0,0,0,74,53
"JAMAICA PLAIN, MA US",9/27/19,0.36,0,0,83,51
"JAMAICA PLAIN, MA US",9/28/19,0,0,0,75,53
"JAMAICA PLAIN, MA US",9/29/19,0,0,0,81,65
"JAMAICA PLAIN, MA US",9/30/19,0,0,0,75,50
"JAMAICA PLAIN, MA US",10/1/19,0.03,0,0,65,52
"JAMAICA PLAIN, MA US",10/2/19,0,0,0,71,55
"JAMAICA PLAIN, MA US",10/3/19,0.32,0,0,76,50
